,word,definition
1511,keakε,to rot e Q meat leaves cloth wood or a corpse ɣa s ukpd na wɽae y uw ameE Dv eda swakeke s who left this cloth in the water here it will rot
1512,ketsketz,ass occaslonally brought by Hausa people k εti cf ke ki to look for fruit at the base of a tree gi ayaki otiε o let us go and look for oti to inspect e g traps ki to tie tightly ↄy iri ki ε
1513,kakaaka,to dazzle cf oki
1514,ki,kie l ighe s iy eha e k igbe s iy ehal e k ighe s iy enε e k igbe s iy isE k igo I to coil of snakes caterpillars centipedes to curl up of the Scaly Anteater gnyε n imie re wabgεhe TE ↄkeki the snake which I saw to day it suddenly wa saw me it coiled to cower in ki re ↄki re kpukpuu
1515,kpu,he cowered feeling cold with crossed arms and hands resting on shoulders to curl of hair eto n ↄkiri curls to coagulate e g of owo J soup or starch but for oil rhuε is used owo na kir εs sse this owo soup has properly coagulated ie it is still liquid iterat
1516,kino,he opened the door to be open tofold m ↄki ewa na la owa v amε de pa it was I who folded this mat and took it into the house when rain was coming in ki
1517,ewua,to wake the ba by imitating a cock s crow fifty remain ten reach sixty twenty times three cf ke ahundred and ten remain ten reach twenty times six cf ke I seventy remain ten reach eighty twenty times four cf ke ninety remain ten reach a hundred twenty times five cf ke I l cf Ra l k ihii to give a present to a visitor e g kola or drinks Egh Hist
1518,kinskinbskino,plaited wo ven e g as a pattern v oba used with the verb ye c
1519,ki,a descriptive adverb accompanying the verb sa to jump ↄsaɽE kisi he jumped hard occurs in a saying
1520,kiwi,to hit strike kiGi him ocry of en couragement to somebody who is fichting v ilumal v ↄ
1521,kiza,to be foolish senseless
1522,ukiza,are you mad v
1523,bibi,tofold a pad ukuoki cf kuos ko to gather in ko ti ku εti to gather strength to stop doing something to leave off ku εti U EεwiCuU εe stop don t do it any more i e a task he was ordered to perform before to set a fractured bone by tying a small bamboo mat with medicines on it to the broken part Ozo bfi obↄ gi a mu ε gi ↄda v uxegie n ↄku εe Ojo has v an arm let us take him to somebody at Uxegie that he may set it ko in ko uro ko ro to wax of the moon the ipf is expressed by the auxiliary
1524,feko,only cf wro hↄ uro v vki vewae xNI n k od k ots o of RET C
1525,koikoi,describes the sound of beating fufu BD koko to gather si ε e
1526,koko,gather it also w ifa si koko xε O ε ɣ ide iwe D A tel them to gather and wait for me for I am coming kok erh to make a fire kok erhε n al e i make a fire so that we can cook something kok
1527,eti,to gather strength to rest kok εti xerhe n u wade rest a while before you come lit that you will come utexade is also possible cf ko koko to look after to feed ukok ↄmby na εs erio er are you feeding this child pro perly like that
1528,kokomeme,cucumber Eng l
1529,kokooko,hard used with the verb ze or ye e of bread pounded ywam or cas sava
1530,koyↄ,avery common greeting among the Binis koyↄ ko good day or hullo friend v oko koyↄ ga good day sic koyↄ tε oP good day cousin v oↄga atε L D
1531,kb,to plant to put up a god s ancestral or guardian spirit s shrine in k εbↄ to construct one s Juju k zhi fo construct one s Lord i guardian spirit cf ukↄ ε k to be foolish ↄkoε O he is foolish ↄk he is at times foolish ↄk gbe he is very or too toolish stronger SRpressiont are ↄk ɽk H oya gbe he is foolish with a djis anastl foolishness and k Wk T uↄ gbe v ↄzuↄ lL c uksῦε IL k to move about in search of food to browse of cattle dteks yo k re v eva si it was moving to and fro here before said e g of a fowl which the owner is missing k to alm in shooting ↄ hkbv fizo ni he is aiming at that antelope uzo kogɣoko reproduces the sound made by the bell aza v goxOGOZO J gr ε εɣεY
1532,kolo,pick me mangoes gi ayakol otiε let us go and pick otiε ku to depreciate in value or become worthless through being kept in stock for too long a time inga n ide ↄ RuVuU xRε uxudu igimu s ki sε L D o keku tN N the yams which I boubht in wait for a famine when I had carried them to the market they were worth less iterat kulo not to be in order but reparable osisi na kulo this gun is out of order cf ↄ ku u l
1533,rhia,to be entirely spoilt ku in ku obↄ yyi to hurry a matter a task iku obb y zy ni I am hurrying that lawsuit e g by getting hold of all the evidence beforehand t igami otↄ ɽe haL have hurried it I will see its ground i e I will see its con clusion
1534,ku,gbe X second part of a verbal combination meaning to mix together mu
1535,fwg,they are doing it to gether
1536,kivx,toconstruct something by means of ropes and strings such as an akpata gi and a drum but also the masquerad ing dress for Ekpo which is made out of strings and palm branches ↄku akpata he built or is building an akpata harp f kii kul to make a feast az
1537,ku,x to play to dance a slow dance but v gbe when linked with the name of a dance and wv d ugba l to play in a sexual sense also used as a more decent ex pression for ho to have sexual intercourse with is expressed by the preceding verb
1538,gu,n εree D to parcel for gree preghant women glve an offering to εrεe in order to ensure safe delivery but also by other people when ad vised to do so by Ogweaga to this end they weave a thread net over a calabash and put the calabash on a forked stick on an
1539,ada,mu to parcel body i e oneself take to IT stand contrite with downdcast eyes and folded arms as a wrongdoer when being blamed for his offences cf ik i
1540,ikwiegbemu,to parcel with leaves kuw in ko M εx to wound to make infirm jↄki B gxw he wounded me possibly k I diom k erha kfi iri lit hitting tree hitting creeper i e meet Ing obstacles everywhere used e of a man who is drunken and therefore hits every ob stacle on his way v yi ama de ku
1541,kua,second part of verbal combinations implying that the object always a mass such as a liquid or grains is thrown or poured away v fua mu
1542,hihiε,z to bite of a snake c f ukuade to injure oneself
1543,kue,in kue y ↄ to agree to it ikue D I agree dskue y ↄdε ɽe he agreed to me it lit to my it he granted it to me
1544,kuε,to trade on credit used as second part of verbal com binations ↄXi ↄ kuε he sold it on credit ↄd ↄfe kuε he bought it on credit
1545,sdekuε,at any time always same as ugbugbεhia Akugbe cf igbha
1546,rɣe,to splash water on some thing or somebody it is also used as second part of wverbal combinations such as kpolo
1547,kui,to sweep and throw the rubbish on bↄ ῦε kui to shake dust or chaff or to winnow on i e it implies that the object of the main action is thrown on or at some body or something the wvowel appears before the objective pronouns of the sing ɣEbLↄY ↄ ε ku ↄBε don t shake it i e dust or chaff in winnowing on me giayae ku erha ku iri he cut or tore it all to Dieces i e throwing the pieces everywhere v ki
1548,kukuku,closed of leaves used with the verb ye
1549,kubↄ,x to collapse to faint to fold e an umbrella kub exarhani fold that umbrellal cf ko
1550,kurururururu,describes the noise of distant thunder before a rainfall wv kpafɽa r dl Bd Bi r lod
1551,kuro,dull of a day when the sun is behind clouds all the time deε n εɽε ye kuɽm it is dull to day k uxudu df ke
1552,kwarayada,entirely worn out used with kwisε
1553,kwe,an auxilary werb in dicating doubt in a question possibility in other sentences can often be translated by pro bably really or at all Gig ge ɽa n i εɽu εe yi shall I do it or not mg y na ugɣa
1554,kweyo,as you do not reply to it now will you really go or will you go at all d xakwere he will probably come IIs
1555,kweikwei,also kwεkwa x small of yams always in a plural sense used with the verb
1556,ve,in ↄkwisε kwaragɣada he is entirely worn out
1557,kwy,also kwe to feather an arrow in kwo ifεdε kyεker to be very small c Yor kekere kpa an auxiliary verb used in hypothetical conditional sentences ikpami ↄ ε iɣalε nε L NLAN had I always been seeing him I should have run away from him e g from a creditor who comes to ask for his money ikpami ↄε i alε nε n J had I seen him once I should have run cf
1558,akpaws,in kpa edi to surprise edi n uɽu na kpa w odi what the thing you are doing now surprises me kpa to vomit cf ekpa to burst into fruit cf bananas and plantain trees
1559,kpa,ma to be good in the sense of convenient used impersonally ↄkpa ma j irherhe re it is good that I have come in time ivaizidova fue I should not have managed lit come tomeetyou tobeclear plain skpamayi g ↄna ic okieke v use n mamu e D it is quite clear that iɣe II this is the last among the helping parties use which we are having mu this may be used as an exasperated comment of one who thinks that he is exploited by the man for whom the helpers are working
